nl,code
"return boolean True, otherwise return boolean False. define private method __ne__ with self class instance and other as arguments.","def __ne__ ( self , other ) :"
"if self equals to other return boolean False, otherwise return True.",return not ( self == other )
define private method __str__ with argument self.,def __str__ ( self ) :
from django.db import models into default name space.,from django . db import models
"if self.obj is None,",if self . obj is None :
"obj is a string ""?"".","obj = ""?"""
"otherwise if self.object is an instance of the models.base.ModelBase class,","elif isinstance ( self . obj , models . base . ModelBase ) :"
substitute self.obj for model.,model = self . obj
substitute model._meta.app_label for app.,app = model . _meta . app_label
"convert app and model._meta.object_name to strings, join them with separating '.' character, substitute it for obj.","obj = '%s.%s' % ( app , model . _meta . object_name )"
"if not,",else :
"call the function force_str with argument self.obj, substitute the result for obj.",obj = force_str ( self . obj )
"if self.id exists, convert self.id to a string, surround it with round brackets, substitute id for it, otherwise id is an empty string.","id = ""(%s) "" % self . id if self . id else """""
"if self.hint exists, replace '%s' in a string ""\n\tHINT: %s"" with value of self.hint, substitute it for hint, otherwise hint is an empty string.","hint = ""\n\tHINT: %s"" % self . hint if self . hint else ''"
"replace all '%s' from string ""%s: %s%s%s"" with values of obj, id, self.msg and hint, respectively, return the result.","return ""%s: %s%s%s"" % ( obj , id , self . msg , hint )"
define private method __repr__ with argument self.,def __repr__ ( self ) :
"in the string ""<%s: level=%r, msg=%r, hint=%r, obj=%r, id=%r>"", replace '%s' with the name of the type of this class instance,","return ""<%s: level=%r, msg=%r, hint=%r, obj=%r, id=%r>"" % ( self . __class__ . __name__ , self . level , self . msg , self . hint , self . obj , self . id )"
"replace all the '%r' with self.level, self.msg, self.hint. self.obj and self.id, respectively, return the result. define the method is_serious with argument self.",def is_serious ( self ) :
"return boolean True if self.level is greater than or equals to ERROR, otherwise return boolean False.",return self . level >= ERROR
define the method is_silence with argument self.,def is_silenced ( self ) :
from django.conf import settings into default name space.,from django . conf import settings
"if self.id is contained in settings.SILENCED_SYSTEM_CHECKS return boolean True, False otherwise.",return self . id in settings . SILENCED_SYSTEM_CHECKS
derive the class Debug from base class CheckMessage.,class Debug ( CheckMessage ) :
"define initialization method __init__ with self class instance, unpacked list args, unpacked dictionary kwargs as arguments.","def __init__ ( self , * args , ** kwargs ) :"
"call the __init__ method with 3 arguments: DEBUG, unpacked list args and unpacked dictionary kwargs from the base class of Debug.","return super ( Debug , self ) . __init__ ( DEBUG , * args , ** kwargs )"
derive the class Info from base class CheckMessage.,class Info ( CheckMessage ) :
"define initialization method __init__ with self class instance, unpacked list args, unpacked dictionary kwargs as arguments.","def __init__ ( self , * args , ** kwargs ) :"
"call the __init__ method with 3 arguments: INFO, unpacked list args and unpacked dictionary kwargs from the base class of Info.","return super ( Info , self ) . __init__ ( INFO , * args , ** kwargs )"
derive the class Warning from base class CheckMessage.,class Warning ( CheckMessage ) :
"define initialization method __init__ with self class instance, unpacked list args, unpacked dictionary kwargs as arguments.","def __init__ ( self , * args , ** kwargs ) :"
"call the __init__ method with 3 arguments: WARNING, unpacked list args and unpacked dictionary kwargs from the base class of Warning.","return super ( Warning , self ) . __init__ ( WARNING , * args , ** kwargs )"
derive the class Error from base class CheckMessage.,class Error ( CheckMessage ) :
"define initialization method __init__ with self class instance, unpacked list args, unpacked dictionary kwargs as arguments.","def __init__ ( self , * args , ** kwargs ) :"
"call the __init__ method with 3 arguments: ERROR, unpacked list args and unpacked dictionary kwargs from the base class of Error.","return super ( Error , self ) . __init__ ( ERROR , * args , ** kwargs )"
derive the class Critical from base class CheckMessage.,class Critical ( CheckMessage ) :
"define initialization method __init__ with self class instance, unpacked list args, unpacked dictionary kwargs as arguments.","def __init__ ( self , * args , ** kwargs ) :"
"call the __init__ method with 3 arguments: CRITICAL, unpacked list args and unpacked dictionary kwargs from the base class of Critical.","return super ( Critical , self ) . __init__ ( CRITICAL , * args , ** kwargs )"
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
from itertools import chain into default name space.,from itertools import chain
import module types.,import types
from django.apps import apps into default name space.,from django . apps import apps
"from . import Error, Tags and register into default name space.","from . import Error , Tags , register"
decorator register with Tags.models as an argument.,@ register ( Tags . models )
define the function check_all_models with app_configs defaulting to None and unpacked dictionary kwargs as arguments.,"def check_all_models ( app_configs = None , ** kwargs ) :"
"call the model.check method with unpacked dictionary kwargs for every model in return value of function apps.get_models,",errors = [ model . check ( ** kwargs ) for model in apps . get_models ( ) if app_configs is None or model . _meta . app_config in app_configs ]
"only if app_configs is None ot model._meta.app_config is contained in app_configs, error is a list containing all the previous elements. chain all errors elements into a list, return it.",return list ( chain ( * errors ) )
decorator register with Tags.models and Tags.signals as arguments.,"@ register ( Tags . models , Tags . signals )"
"define the function check_model_signals with app_config defaulting to None and unpacked dictionary kwargs as arguments,","def check_model_signals ( app_configs = None , ** kwargs ) :"
from django.db import models into default name space.,from django . db import models
errors is an empty list.,errors = [ ]
"for name in attributes of models_signals object,",for name in dir ( models . signals ) :
"get models.signals name attribute, store it in obj.","obj = getattr ( models . signals , name )"
"if obj is instance of models.signals.ModelSignal class,","if isinstance ( obj , models . signals . ModelSignal ) :"
"for every reference and receivers in return value of the call of obj.unresolved_references.items method,","for reference , receivers in obj . unresolved_references . items ( ) :"
"for every receiver, _ and _ in receivers,","for receiver , _ , _ in receivers :"
"if receiver is an instance of types.FunctionType type,","if isinstance ( receiver , types . FunctionType ) :"
"description is a string ""The '%s' function"" replaced by value of receiver.__name__.","description = ""The '%s' function"" % receiver . __name__"
"if not,",else :
"description is a string ""An instance of the '%s' class"" with '%s' replaced by value of receiver.__class__.__name__.","description = ""An instance of the '%s' class"" % receiver . __class__ . __name__"
"call the Error function with 4 arguments, string ""%s was connected to the '%s' signal with a lazy reference to the '%s' sender,","errors . append ( Error ( ""%s was connected to the '%s' signal "" ""with a lazy reference to the '%s' sender, "" ""which has not been installed."" % ( description , name , '.' . join ( reference ) ) , obj = receiver . __module__ , hint = None , id = 'signals.E001' ) )"
"which has not been installed."" with all the '%s' replaced by values of description, name and reference joined into a string delimited by '.', respectively, obj set to receiver.__module__, hint set to None and id set to string 'signals.E001', append the result to errors. return errors.",return errors
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
from itertools import chain into default name space.,from itertools import chain
from django.utils.itercompat import is_iterable into default name space.,from django . utils . itercompat import is_iterable
derive the class Tags with base class object.,class Tags ( object ) :
admin is a string 'admin',admin = 'admin'
compatibility is a string 'compatibility'.,compatibility = 'compatibility'
models is a string 'models',models = 'models'
signal is a string 'signals',signals = 'signals'
derive the class CheckRegistry with object as base class.,class CheckRegistry ( object ) :
define initialization method __init__ with argument self.,def __init__ ( self ) :
self.registered_checks is an empty list.,self . registered_checks = [ ]
define the method register with self ans unpacked list tags as arguments.,"def register ( self , * tags ) :"
define the method inner with argument check.,def inner ( check ) :
replace tags for check.tags.,check . tags = tags
if check is not contained in self.registered_checks.,if check not in self . registered_checks :
call the method self.registered_checks.append with argument check.,self . registered_checks . append ( check )
return check.,return check
return inner.,return inner
"define the method run_checks with self class instance, app_configs defaulting to None, tags defaulting to None as argument.","def run_checks ( self , app_configs = None , tags = None ) :"
errors is an empty list.,errors = [ ]
if tags is not None.,if tags is not None :
"append check to checks list, for every check in self.register_checks, if check has an attribute 'tags' and check.tags and tags set intersection is a non empty set.","checks = [ check for check in self . registered_checks if hasattr ( check , 'tags' ) and set ( check . tags ) & set ( tags ) ]"
if not.,else :
substitute self.registered_checks for checks.,checks = self . registered_checks
"for every check in checks,",for check in checks :
"call the check function with argument app_config set to app_config, substitute the result for new_errors.",new_errors = check ( app_configs = app_configs )
"if new_errors is not an iterable object raise an error with error message ""The function %r did not return a list. All functions registered with the checks registry must return a list."", with '%s' replaced by value of check.","assert is_iterable ( new_errors ) , ( ""The function %r did not return a list. All functions registered "" ""with the checks registry must return a list."" % check )"
call the method errors.extend with argument new_errors.,errors . extend ( new_errors )
return errors.,return errors
define the method tag_exists with self class instance and tag as arguments.,"def tag_exists ( self , tag ) :"
"return boolean True if tag is contained in self.tags_available method return value, return False otherwise.",return tag in self . tags_available ( )
define the method tags_available with argument self.,def tags_available ( self ) :
"append check.tags into a list for every check in self.registered_checks if check has 'tags' attribute, put the elements into a set and return it.","return set ( chain ( * [ check . tags for check in self . registered_checks if hasattr ( check , 'tags' ) ] ) )"
"call the function CheckRegistry, substitute the result for registry.",registry = CheckRegistry ( )
substitute registry.register for register.,register = registry . register
substitute registry.run_checks for run_checks.,run_checks = registry . run_checks
substitute registry.tag_exists for tag_exists.,tag_exists = registry . tag_exists
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
from django.conf import settings into default name space.,from django . conf import settings
from django.middleware.csrf import get_token into default name space.,from django . middleware . csrf import get_token
from django.utils import six into default name space.,from django . utils import six
from django.utils.encoding import smart_text into default name space.,from django . utils . encoding import smart_text
from django.utils.functional import lazy into default name space.,from django . utils . functional import lazy
define the function csrf with an argument request.,def csrf ( request ) :
define the function _get_val.,def _get_val ( ) :
"call the function get_token with an argument request, substitute the result for token.",token = get_token ( request )
"if token is None,",if token is None :
return string 'NOTPROVIDED'.,return 'NOTPROVIDED'
"if not,",else :
"call the smart_text function with an argument token, return the result.",return smart_text ( token )
"call the function lazy with arguments _get_val and six.text_type, substitute the result for _get_val.","_get_val = lazy ( _get_val , six . text_type )"
return an dictionary containing 1 entry: return value of the function _get_val for 'csrf_token'.,return { 'csrf_token' : _get_val ( ) }
define the function debug with an argument request.,def debug ( request ) :
context_extras is an empty dictionary.,context_extras = { }
"if settings.DEBUG is true and value of the request.META dictionary under the 'REMOTE_ADDR' key is contained in settings.INTERNAL_IPS,",if settings . DEBUG and request . META . get ( 'REMOTE_ADDR' ) in settings . INTERNAL_IPS :
value under the 'debug' key of the context_extras dictionary is boolean True.,context_extras [ 'debug' ] = True
from django.db import connection into default name space.,from django . db import connection
substitute connection.queries for value under the 'debug' key of the context_extras dictionary.,context_extras [ 'sql_queries' ] = connection . queries
return context_extras.,return context_extras
define the function i18n with an argument request.,def i18n ( request ) :
from django.utils import translation into default name space.,from django . utils import translation
context_extras is an empty dictionary.,context_extras = { }
substitute settings.LANGUAGES for the value under the 'LANGUAGES' key of the context_extras dictionary.,context_extras [ 'LANGUAGES' ] = settings . LANGUAGES
"call the translation.get_language function, substitute the result for the value under the 'LANGUAGE_CODE' key of the context_extras dictionary.",context_extras [ 'LANGUAGE_CODE' ] = translation . get_language ( )
"call the translation.get_language_bidi function, substitute the result for the value under the 'LANGUAGE_BIDI' key of the context_extras dictionary.",context_extras [ 'LANGUAGE_BIDI' ] = translation . get_language_bidi ( )
return context_extras.,return context_extras
define the function tz with an argument request.,def tz ( request ) :
from django.utils import timezone into default name space.,from django . utils import timezone
return an dictionary containing 1 entry: return value of the function timezone.get_current_timezone_name for 'TIME_ZONE'.,return { 'TIME_ZONE' : timezone . get_current_timezone_name ( ) }
define the function static with an argument request.,def static ( request ) :
return an dictionary containing 1 entry: settings.STATIC_URL for 'STATIC_URL'.,return { 'STATIC_URL' : settings . STATIC_URL }
define the function media with an argument request.,def media ( request ) :
return an dictionary containing 1 entry: settings.MEDIA_URL for 'MEDIA_URL'.,return { 'MEDIA_URL' : settings . MEDIA_URL }
define the function request with an argument request.,def request ( request ) :
return an dictionary containing 1 entry: request for 'request'.,return { 'request' : request }
from functools import reduce into default name space.,from functools import reduce
import module operator.,import operator
from django.utils import six into default name space.,from django . utils import six
from django.utils.encoding import force_text into default name space.,from django . utils . encoding import force_text
derive the class DjangoRuntimeWarning from the RuntimeWarning base class.,class DjangoRuntimeWarning ( RuntimeWarning ) :
do nothing.,pass
derive the class AppRegistryNotReady from the Exception base class.,class AppRegistryNotReady ( Exception ) :
do nothing.,pass
derive the class ObjectDoesNotExist from the Exception base class.,class ObjectDoesNotExist ( Exception ) :
silent_variable_failure is an boolean True.,silent_variable_failure = True
derive the class MultipleObjectsReturned from the Exception base class.,class MultipleObjectsReturned ( Exception ) :
do nothing.,pass
derive the class SuspiciousOperation from the Exception base class.,class SuspiciousOperation ( Exception ) :
derive the class SuspiciousMultipartForm from the SuspiciousOperation base class.,class SuspiciousMultipartForm ( SuspiciousOperation ) :
do nothing.,pass
derive the class SuspiciousFileOperation from the SuspiciousOperation base class.,class SuspiciousFileOperation ( SuspiciousOperation ) :
do nothing.,pass
derive the class DisallowedHost from the SuspiciousOperation base class.,class DisallowedHost ( SuspiciousOperation ) :
do nothing.,pass
derive the class DisallowedRedirect from the SuspiciousOperation base class.,class DisallowedRedirect ( SuspiciousOperation ) :
do nothing.,pass
derive the class PermissionDenied from the Exception base class.,class PermissionDenied ( Exception ) :
do nothing.,pass
derive the class ViewDoesNotExist from the Exception base class.,class ViewDoesNotExist ( Exception ) :
do nothing.,pass
derive the class MiddlewareNotUsed from the Exception base class.,class MiddlewareNotUsed ( Exception ) :
do nothing.,pass
derive the class ImproperlyConfigured from the Exception base class.,class ImproperlyConfigured ( Exception ) :
do nothing.,pass
derive the class FieldError from the Exception base class.,class FieldError ( Exception ) :
do nothing.,pass
NON_FIELD_ERRORS is an string '__all__'.,NON_FIELD_ERRORS = '__all__'
derive the class ValidationError from the Exception base class.,class ValidationError ( Exception ) :
"define the method __init__ with 4 arguments: self, message, code set to None and params set to None.","def __init__ ( self , message , code = None , params = None ) :"
"call the __init__ method from the base class of the class ValidationError with arguments message, code and params.","super ( ValidationError , self ) . __init__ ( message , code , params )"
"if message is an instance of ValidationError class,","if isinstance ( message , ValidationError ) :"
"if message has an 'error_dict' attribute,","if hasattr ( message , 'error_dict' ) :"
substitute message.error_dict for message.,message = message . error_dict
"alternatively, if six.PY3 is true check if message does not have an attribute 'message', if six.PY3 is false, check if message doesnt have an attribute 'code', perform the following,","elif not hasattr ( message , 'message' if six . PY3 else 'code' ) :"
substitute message.error_list for message.,message = message . error_list
"if not,",else :
"substitute message.message, message.code, message.params for message, code and params, respectively.","message , code , params = message . message , message . code , message . params"
"if message is an instance of dict type,","if isinstance ( message , dict ) :"
self.error_dict is an empty dictionary.,self . error_dict = { }
"for every field, messages in return value of the message.items method,","for field , messages in message . items ( ) :"
"if messages is not an instance of the ValidationError class,","if not isinstance ( messages , ValidationError ) :"
messages is an instance of the ValidationError class created with an argument messages.,messages = ValidationError ( messages )
substitute messages.error_list for the value under the field key of the self.error_dict dictionary.,self . error_dict [ field ] = messages . error_list
otherwise if message is an instance of the list type.,"elif isinstance ( message , list ) :"
self.error_list is an empty list.,self . error_list = [ ]
"for every message is message,",for message in message :
"if message is not an instance of the ValidationError class,","if not isinstance ( message , ValidationError ) :"
message is an instance of the ValidationError class created with an argument message.,message = ValidationError ( message )
extend the self.error_list list with message.error_list.,self . error_list . extend ( message . error_list )
"if not,",else :
substitute message for self.message.,self . message = message
substitute code for self.code.,self . code = code
substitute params for self.params.,self . params = params
substitute list containing element self for self.error_list.,self . error_list = [ self ]
"property getter decorator,",@ property
define the method message_dict with an argument self.,def message_dict ( self ) :
get attribute 'error_dict' from the self object.,"getattr ( self , 'error_dict' )"
"convert object self to a dictionary, return it.",return dict ( self )
"property getter decorator,",@ property
define the messages with an argument self.,def messages ( self ) :
"if self has an 'error_dict' attribute,","if hasattr ( self , 'error_dict' ) :"
"call the operator.add on the values of the self object converted into a dictionary, until it is reduced to a single value, return it.","return reduce ( operator . add , dict ( self ) . values ( ) )"
convert self to a list and return it.,return list ( self )
define the method update_error_dict with arguments self and error_dict.,"def update_error_dict ( self , error_dict ) :"
"if self has an 'error_dict' attribute,","if hasattr ( self , 'error_dict' ) :"
"for every field, error_list in self.error_dict.items method return value,","for field , error_list in self . error_dict . items ( ) :"
call the method extend with an argument error_list on the return value of the method error_dict.setdefault called with 2 arguments: field and an empty list.,"error_dict . setdefault ( field , [ ] ) . extend ( error_list )"
"if not,",else :
call the method extend with an argument error_list on the return value of the method error_dict.setdefault called with 2 arguments: NON_FIELD_ERRORS and an empty list.,"error_dict . setdefault ( NON_FIELD_ERRORS , [ ] ) . extend ( self . error_list )"
return error_dict.,return error_dict
define the method __iter__ with an argument self.,def __iter__ ( self ) :
"if self has an 'error_dict' attribute,","if hasattr ( self , 'error_dict' ) :"
"for every field, errors in self.error_dict.items method return value,","for field , errors in self . error_dict . items ( ) :"
"yield field and ValidationError object converted to an list, created with an argument errors.","yield field , list ( ValidationError ( errors ) )"
"if not,",else :
"for every error in self.error_list,",for error in self . error_list :
substitute error.message for message.,message = error . message
"if error.params is true,",if error . params :
"divide message by error.params, substitute the residue of the division for message.",message %= error . params
"call the force_text with an argument message, yield the result.",yield force_text ( message )
define the method __str__ with an argument self.,def __str__ ( self ) :
"if self has an attribute 'error_dict',","if hasattr ( self , 'error_dict' ) :"
return the printable representation of the self object converted to a dictionary.,return repr ( dict ( self ) )
return the printable representation of the self object converted to a list.,return repr ( list ( self ) )
define the method __repr__ with an argument self.,def __repr__ ( self ) :
"return the string 'ValidationError(%s)', replace '%s' with self.",return 'ValidationError(%s)' % self
from django.core.files.base import File into default name space.,from django . core . files . base import File
__all__ is an list containing a string 'File'.,__all__ = [ 'File' ]
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
import module os.,import os
"from io import BytesIO, StringIO and UnsupportedOperation into default name space.","from io import BytesIO , StringIO , UnsupportedOperation"
from django.utils.encoding import smart_text into default name space.,from django . utils . encoding import smart_text
from django.core.files.utils import FileProxyMixin into default name space.,from django . core . files . utils import FileProxyMixin
from django.utils import six into default name space.,from django . utils import six
from django.utils.encoding import force_bytes and python_2_unicode_compatible into default name space.,"from django . utils . encoding import force_bytes , python_2_unicode_compatible"
"decorator python_2_unicode_compatible,",@ python_2_unicode_compatible
derive the class File from the FileProxyMixin base class.,class File ( FileProxyMixin ) :
"bring integer 2 to the power of 10, multiply it by 64, substitute the result for DEFAULT_CHUNK_SIZE.",DEFAULT_CHUNK_SIZE = 64 * 2 ** 10
"define the method __init__ with self class instance, file, and name defaulting to None as arguments.","def __init__ ( self , file , name = None ) :"
substitute file for self.file.,self . file = file
"if name is None,",if name is None :
"get 'name' attribute from the file object, if it doesnt exists use None, substitute it for name.","name = getattr ( file , 'name' , None )"
substitute name for self.name.,self . name = name
"if file object has an attribute 'mode',","if hasattr ( file , 'mode' ) :"
substitute file.mode for self.mode.,self . mode = file . mode
define the method __str__ with argument self.,def __str__ ( self ) :
"evaluate the function smart_text with argument self.name, if exists, or an empty string, if not, return the result.",return smart_text ( self . name or '' )
define the method __repr__ with argument self.,def __repr__ ( self ) :
"substitute '%s' in string '<%s: %s>' with self.__class__.__name__ and self, if exists, or string 'None' if it doesnt, return it.","return ""<%s: %s>"" % ( self . __class__ . __name__ , self or ""None"" )"
define the method __bool__ with argument self.,def __bool__ ( self ) :
"convert self.name into an boolean, return it.",return bool ( self . name )
define the method __nonzero__ with argument self.,def __nonzero__ ( self ) :
"call the __bool__ method with argument self, on the return value of the type function with argument self, return the result.",return type ( self ) . __bool__ ( self )
define the method __len__ with argument self.,def __len__ ( self ) :
return self.size.,return self . size
define the method _get_size_from_underlying_file with argument self.,def _get_size_from_underlying_file ( self ) :
"if self.file has an attribute 'size',","if hasattr ( self . file , 'size' ) :"
return self.file.size.,return self . file . size
"if self.file has an attribute 'name',","if hasattr ( self . file , 'name' ) :"
"try,",try :
"call the os.path.getsize function with argument self.file.name, return the result.",return os . path . getsize ( self . file . name )
if OSError or TypeError errors occurred.,"except ( OSError , TypeError ) :"
do nothing.,pass
"if self.file has an attribute 'tell' and an attribute 'seek',","if hasattr ( self . file , 'tell' ) and hasattr ( self . file , 'seek' ) :"
"get the position of the self.file file pointer, substitute it for pos.",pos = self . file . tell ( )
position the file self.file pointer at the end.,"self . file . seek ( 0 , os . SEEK_END )"
"get the position of the file self.file pointer, substitute it for size.",size = self . file . tell ( )
position file self.file pointer at the pos position.,self . file . seek ( pos )
return size.,return size
"raise an AttributeError exception with string ""Unable to determine the file's size."" as argument.","raise AttributeError ( ""Unable to determine the file's size."" )"
define the method _get_size with argument self.,def _get_size ( self ) :
if self has an attribute '_size'.,"if hasattr ( self , '_size' ) :"
return self._size.,return self . _size
"call the method self._get_size_from_underlying_file, substitute the result for self._size.",self . _size = self . _get_size_from_underlying_file ( )
return self._size.,return self . _size
define the method _set_size with arguments self and size.,"def _set_size ( self , size ) :"
substitute size for self._size.,self . _size = size
size is a property object with _get_size as getter method and _set_size as setter method.,"size = property ( _get_size , _set_size )"
define the method _get_closed with argument self.,def _get_closed ( self ) :
"if self.file is false or self.file.closed is true, return boolean true, otherwise return boolean false.",return not self . file or self . file . closed
closed is a property object with _get_closed as a getter method.,closed = property ( _get_closed )
define the method chunks with arguments self and chunk_size defaulting to None.,"def chunks ( self , chunk_size = None ) :"
"if chunk_size is false,",if not chunk_size :
substitute the self.DEFAULT_CHUNK_SIZE for chunk_size.,chunk_size = self . DEFAULT_CHUNK_SIZE
"try,",try :
position the file pointer at the beginning of self file.,self . seek ( 0 )
if AttributeError or UnsupportedOperation exception occurred.,"except ( AttributeError , UnsupportedOperation ) :"
do nothing.,pass
"endless loop,",while True :
"call the self.read method with argument chunk_size, substitute the result for data.",data = self . read ( chunk_size )
"if data is false,",if not data :
break from the smallest enclosing loop.,break
yield one element of data iterable.,yield data
define the method __multiple_chunks__ with arguments self and chunk_size defaulting to None.,"def multiple_chunks ( self , chunk_size = None ) :"
"if chunk_size is false,",if not chunk_size :
substitute self.DEFAULT_CHUNK_SIZE for chunk_size.,chunk_size = self . DEFAULT_CHUNK_SIZE
"if self.size is greater than chunk_size, return boolean True, otherwise return boolean False.",return self . size > chunk_size
define the method __iter__ with argument self.,def __iter__ ( self ) :
buffer_ is None.,buffer_ = None
"for every chunk in return value of the method self.chunks,",for chunk in self . chunks ( ) :
"evaluate the function BytesIO with argument chunk, substitute it for chunk_buffer.",chunk_buffer = BytesIO ( chunk )
"for every line in chunk_buffer,",for line in chunk_buffer :
"if buffer_ is true,",if buffer_ :
increment line by buffer_.,line = buffer_ + line
buffer_ is None.,buffer_ = None
"if last element of line is newline or carriage return character,","if line [ - 1 : ] in ( b'\n' , b'\r' ) :"
yield one element of line iterable.,yield line
"if not,",else :
substitute line for buffer_.,buffer_ = line
"if buffer_ is not None,",if buffer_ is not None :
yield one element from the buffer_ iterable.,yield buffer_
define the method __enter__ with argument self.,def __enter__ ( self ) :
return self.,return self
"define the method __exit__ with self, exc_type, exc_value and tb as arguments.","def __exit__ ( self , exc_type , exc_value , tb ) :"
close the file self.,self . close ( )
define the method open with arguments self and mode defaulting to None.,"def open ( self , mode = None ) :"
"if file self is not closed,",if not self . closed :
position the file pointer at the beginning of self file.,self . seek ( 0 )
"otherwise if self.name exists and self.name file path exists,",elif self . name and os . path . exists ( self . name ) :
"open the file self.name in mode or self.mode mode, whichever exists, assign the file handler to self.file.","self . file = open ( self . name , mode or self . mode )"
"if not,",else :
"raise an ValueError exception with string ""The file cannot be reopened."" as an argument.","raise ValueError ( ""The file cannot be reopened."" )"
define the method close with argument self.,def close ( self ) :
call the method self.file.close.,self . file . close ( )
"decorator python_2_unicode_compatible,",@ python_2_unicode_compatible
derive the class ContentFile from File base class.,class ContentFile ( File ) :
"define the method __init__ with arguments self, content and name defaulting to None.","def __init__ ( self , content , name = None ) :"
"if six.PY3 is boolean True,",if six . PY3 :
"substitute StringIO for stream_class if content is an instance of six.text_type, otherwise substitute BytesIO for stream_class.","stream_class = StringIO if isinstance ( content , six . text_type ) else BytesIO"
"if not,",else :
substitute BytesIO for stream_class.,stream_class = BytesIO
"call the function force_bytes with argument content, substitute it for content.",content = force_bytes ( content )
"call the __init__ method with stream_class(content) and name set to name arguments, from the base class of the ContentFile class.","super ( ContentFile , self ) . __init__ ( stream_class ( content ) , name = name )"
substitute length of content for self.size.,self . size = len ( content )
define the method __str__ with argument self.,def __str__ ( self ) :
return a string 'Raw content'.,return 'Raw content'
define the method __bool__ with argument self.,def __bool__ ( self ) :
return boolean True.,return True
define the method __nonzero__ with argument self.,def __nonzero__ ( self ) :
"evaluate the method type(self).__bool__ with argument self, return the result.",return type ( self ) . __bool__ ( self )
define the method open with arguments self and mode set to None.,"def open ( self , mode = None ) :"
call the self.seek method with argument integer 0.,self . seek ( 0 )
define the method close with argument self.,def close ( self ) :
do nothing.,pass
import module zlib.,import zlib
from django.core.files import File into default name space.,from django . core . files import File
derive class ImageFile from the base class File.,class ImageFile ( File ) :
define method _get_width with self class instance as the argument.,def _get_width ( self ) :
return the first element of the return value of the call to the self._det_image_dimensions method.,return self . _get_image_dimensions ( ) [ 0 ]
"get property attribute _get_width, and substitute it for width.",width = property ( _get_width )
define method _get_height with self class instance as the argument.,def _get_height ( self ) :
return the second element of the return value of the call to the self._det_image_dimensions method.,return self . _get_image_dimensions ( ) [ 1 ]
"get property attribute _get_height, and substitute it for width.",height = property ( _get_height )
define the method _get_image_dimensions with self class instance as the argument.,def _get_image_dimensions ( self ) :
if self does not have an attribute named '_dimensions_cache'.,"if not hasattr ( self , '_dimensions_cache' ) :"
substitute self.closed for close.,close = self . closed
call the method self.open(),self . open ( )
"evaluate the method get_image_dimensions with self class instance and close set to close as the arguments, substitute the result for self._dimensions_cache.","self . _dimensions_cache = get_image_dimensions ( self , close = close )"
return self._dimensions_cache.,return self . _dimensions_cache
define the function get_image_dimension with file_or_path and close set to boolean False as the arguments.,"def get_image_dimensions ( file_or_path , close = False ) :"
from PIL module import ImageFile as PillowImageFile.,from PIL import ImageFile as PillowImageFile
"p is image parser object, set by calling the PillowImageFile.Parser method.",p = PillowImageFile . Parser ( )
"if file_or_path has an attribute 'read',","if hasattr ( file_or_path , 'read' ) :"
substitute file_or_path for file.,file = file_or_path
"get the position in bytes from the start of the file, store it in file_pos.",file_pos = file . tell ( )
set the file position pointer at the beginning.,file . seek ( 0 )
"if not,",else :
"open file named file_or_path for reading, store the file object handle in file.","file = open ( file_or_path , 'rb' )"
close is boolean True.,close = True
"try,",try :
chunk_size is an integer 1024.,chunk_size = 1024
"endless while loop,",while 1 :
read chunk_size bytes from file and store it in data.,data = file . read ( chunk_size )
if data is empty.,if not data :
break from the endless loop.,break
"try,",try :
feed data to the parser p.,p . feed ( data )
"if zlib.error as e exception is raised,",except zlib . error as e :
"if e.args list first element starts with string ""Error -5"",","if e . args [ 0 ] . startswith ( ""Error -5"" ) :"
do nothig.,pass
"if not,",else :
raise an exception.,raise
"if p.image is not empty,",if p . image :
return size of the image that was fed to the parser p.,return p . image . size
double the chunk size.,chunk_size *= 2
return None.,return None
"execute regardless of the exception being raised,",finally :
"if close is True,",if close :
close file file.,file . close ( )
"if not,",else :
set the file position pointer at file_pos.,file . seek ( file_pos )
import module os.,import os
"__all__ is a tuple containing strings: 'LOCK_EX', 'LOCK_SH', 'LOCK_NB', 'lock' and 'unlock'.","__all__ = ( 'LOCK_EX' , 'LOCK_SH' , 'LOCK_NB' , 'lock' , 'unlock' )"
define the _fd function with argument f.,def _fd ( f ) :
"return result of the f.fileno method if f has an 'fileno' attribute, otherwise return f.","return f . fileno ( ) if hasattr ( f , 'fileno' ) else f"
"if os.name equals to 'nt',",if os . name == 'nt' :
import msvcrt.,import msvcrt
"from ctypes import sizeof, c_ulong, c_void_p, c_int64, Structure, Union, POINTER, windll and byref into default name space.","from ctypes import ( sizeof , c_ulong , c_void_p , c_int64 , Structure , Union , POINTER , windll , byref )"
"from ctypes.wintypes import BOOL, DWORD and HANDLE into default name space.","from ctypes . wintypes import BOOL , DWORD , HANDLE"
LOCK_SH is a integer 0.,LOCK_SH = 0
LOCK_NB is a hexadecimal 1.,LOCK_NB = 0x1
LOCK_EX is a hexadecimal 2.,LOCK_EX = 0x2
"if size of c_ulong does not equals to size of c_void_p,",if sizeof ( c_ulong ) != sizeof ( c_void_p ) :
substitute c_int64 for ULONG_PTR.,ULONG_PTR = c_int64
"if not,",else :
